front,back
漢文の否定形「不(弗)二〔～セ〕一」の読み方と訳し方を答えよ。,読み：～〔セ〕ず / 訳：～しない・～でない
漢文の否定形「非ズ（匪)二～ニ一」の読み方と訳し方を答えよ。,読み：～にあらず / 訳：～でない・～ではない
漢文の否定形「無シ(莫・亡・勿・毋)二～〔コト・スル コト〕一」の読み方と訳し方を答えよ。,読み：～〔こと・すること〕なし / 訳：～がない・～はない
漢文の否定形「未ダ二〔～セ〕一」の読み方と訳し方を答えよ。,読み：いまだ～〔せ〕ず / 訳：まだ～でない
漢文の禁止形「勿レ(毋・無・莫)二〔～スル コト〕一」の読み方と訳し方を答えよ。,読み：～〔する こと〕なかれ / 訳：～してはいけない
漢文の不可能を表す否定形「不能ハ二〔～スル コト〕一」の読み方と訳し方を答えよ。,読み：～〔する こと〕あたはず / 訳：～できない
漢文の不可能を表す否定形「不得二〔～スル〕一ヲ」の読み方と訳し方を答えよ。,読み：～〔する〕をえず / 訳：～できない
漢文の不可能・禁止を表す否定形「不可ラ二〔～ス〕一」の読み方と訳し方を答えよ。,読み：～〔す〕べからず / 訳：～してはいけない・～できない
漢文の部分否定「不二ニ常ハ〔～セ〕一」の読み方と訳し方を答えよ。,読み：つねには～〔せ〕ず / 訳：いつも～するとは限らない
漢文の部分否定「不(未ダ)二ズ必シモ〔～セ〕一」の読み方と訳し方を答えよ。,読み：(いまだ)かならずしも～〔せ〕ず / 訳：(まだ)必ずしも～とは限らない
漢文の全否定「不二ニ俱ハ〔～セ〕一」の読み方と訳し方を答えよ。,読み：ともには～〔せ〕ず / 訳：二つともは～することはできない
漢文の全否定「不二復タ〔～セ〕一」の読み方と訳し方を答えよ。,読み：また～〔せ〕ず / 訳：決して～しない・二度とは～しない
漢文の全否定「必ズ不二〔～セ〕一」の読み方と訳し方を答えよ。,読み：かならず～〔せ〕ず / 訳：必ず(絶対に)～しない
漢文の全否定「常ニ不二〔～セ〕一」の読み方と訳し方を答えよ。,読み：つねに～〔せ〕ず / 訳：いつも～しない
漢文の二重否定「無シ(莫)レ不ル〔ハ〕二〔～セ〕一」の読み方と訳し方を答えよ。,読み：～〔せ〕ざる〔は〕なし / 訳：～しないものはない
漢文の二重否定「非ズレ不ルニ二〔～セ〕一」の読み方と訳し方を答えよ。,読み：～〔せ〕ざるにあらず / 訳：～しないわけではない
漢文の二重否定「無シ(莫)レ非ザル〔ハ〕(匪)二～ニ一」の読み方と訳し方を答えよ。,読み：～にあらざる〔は〕なし / 訳：～でないものはない
漢文の二重否定「非ズレ無キニ二～一」の読み方と訳し方を答えよ。,読み：～なきにあらず / 訳：～がないわけではない
漢文の二重否定「無三シトＡシテル不二ハ〔Ｂセ〕一」の読み方と訳し方を答えよ。,読み：ＡとしてＢ〔せ〕ざるはなし / 訳：どんなＡでもＢしないものはない
漢文の二重否定「無三シトＡシテキ無二ハＢ一」の読み方と訳し方を答えよ。,読み：ＡとしてＢなきはなし / 訳：どんなＡでもＢのないものはない
漢文の二重否定「不可レラ不ル二〔～セ〕一」の読み方と訳し方を答えよ。,読み：～〔せ〕ざるべからず / 訳：～しなければならない
漢文の二重否定「不能ハレ不ル二〔～セ〕一」の読み方と訳し方を答えよ。,読み：～〔せ〕ざるあたはず / 訳：～せずにはいられない
漢文の二重否定「不得レル不ヲ二〔～セ〕一」の読み方と訳し方を答えよ。,読み：～〔せ〕ざるをえず / 訳：～しないわけにはいかない
漢文の二重否定「不三ズ必シモン不バア二ラ〔～セ〕一」の読み方と訳し方を答えよ。,読み：かならずしも～〔せ〕ずんばあらず / 訳：必ずしも～しないとは限らない
漢文の二重否定「未三ダ嘗テン不バア二ラ〔～セ〕一」の読み方と訳し方を答えよ。,読み：いまだかつて～〔せ〕ずんばあらず / 訳：これまでに～しなかったことはない
漢文の二重否定「不レ為サレ不ト二〔～セ〕一」の読み方と訳し方を答えよ。,読み：～〔せ〕ずとなさず / 訳：～しないとはいえない
漢文の否定形「不二ヘ敢テ〔～セ〕一」の読み方と訳し方を答えよ。,読み：あへて～〔せ〕ず / 訳：無理に(決して・しいて)～しようとしない
漢文の否定形「無カレ二ヘ敢テ〔～スル〕一コト」の読み方と訳し方を答えよ。,読み：あへて～〔する〕ことなかれ / 訳：決して(無理に・しいて)～してはいけない
漢文の否定形「不可レラ二ゲ勝テ〔～ス〕一」の読み方と訳し方を答えよ。,読み：あげて～〔す〕べからず / 訳：～しきれないほど多い
漢文の否定形「無クレＡト無クレＢト」の読み方と訳し方を答えよ。,読み：ＡとなくＢとなく / 訳：ＡＢの区別なく
漢文の疑問形「何ヲ〔カ〕(奚)〔～スル〕」の読み方と訳し方を答えよ。,読み：なにを〔か〕～〔する〕 / 訳：なにを～か
漢文の疑問形「何ゾ(胡・奚・曷)〔～スル〕」の読み方と訳し方を答えよ。,読み：なんぞ～〔する〕 / 訳：どうして～か
漢文の疑問形「安ンゾ(悪・焉・寧)〔～スル〕」の読み方と訳し方を答えよ。,読み：いづくんぞ～〔する〕 / 訳：どうして～か
漢文の疑問形「安ニ〔カ〕(何・悪・焉)〔～スル〕」の読み方と訳し方を答えよ。,読み：いづくにか～〔する〕 / 訳：どこに～か
漢文の疑問形「誰カ(孰)〔～スル〕」の読み方と訳し方を答えよ。,読み：たれか～〔する〕 / 訳：だれが～か・～するのはだれか
漢文の疑問形「孰カ(奚)レ〔～スル〕」の読み方と訳し方を答えよ。,読み：いづれか～〔する〕 / 訳：どちらが～か
漢文の疑問形「～乎(也・邪・耶・与・歟・哉・夫)」の読み方と訳し方を答えよ。,読み：～か・～や / 訳：～か
漢文の疑問形「何ヲ以テ〔カ〕〔～スル〕」の読み方と訳し方を答えよ。,読み：なにをもちて〔か〕～〔する〕 / 訳：どうやって～か・どうして～か
漢文の疑問形「何ノ故ニ〔～スル〕」の読み方と訳し方を答えよ。,読み：なんのゆゑに～〔する〕 / 訳：どうして～か
漢文の疑問形「何(奚)レ為ゾ〔～スル〕」の読み方と訳し方を答えよ。,読み：なんすれぞ～〔する〕 / 訳：どうして～か
漢文の疑問形「～ハ何ゾ也」の読み方と訳し方を答えよ。,読み：～はなんぞや / 訳：～はどうしてか
漢文の疑問形「何ノ処ヨリ～」の読み方と訳し方を答えよ。,読み：いづれのところより～ / 訳：どこから～か
漢文の疑問形「～幾何ゾ(許)」の読み方と訳し方を答えよ。,読み：～いくばくぞ / 訳：どれくらいの数か
漢文の疑問形「～幾時ゾ(年)」の読み方と訳し方を答えよ。,読み：～いくとき(とし)ぞ / 訳：どれくらいの期間か
漢文の疑問形「～何如(何若)」の読み方と訳し方を答えよ。,読み：～いかん / 訳：どのようであるか
漢文の疑問形「～如〔何セン〕(奈何・若何)」の読み方と訳し方を答えよ。,読み：～いかん〔せん〕 / 訳：どうしたらよいか
漢文の疑問形「～ヤ不ヤ(否)」の読み方と訳し方を答えよ。,読み：～やいなや / 訳：～かどうか
漢文の反語形「何ゾ(胡・奚・曷)〔～セン〕〔ヤ〕」の読み方と訳し方を答えよ。,読み：なんぞ～〔せん〕〔や〕 / 訳：どうして～か、いや～ない
漢文の反語形「何ヲカ(奚)〔～セン〕〔ヤ〕」の読み方と訳し方を答えよ。,読み：なにをか～〔せん〕〔や〕 / 訳：なにを～か、いやなにも～ない
漢文の反語形「安ンゾ(悪・焉・寧)〔～セン〕〔ヤ〕」の読み方と訳し方を答えよ。,読み：いづくんぞ～〔せん〕〔や〕 / 訳：どうして～か、いや～ない
漢文の反語形「安ニカ(何・悪・焉)〔～セン〕〔ヤ〕」の読み方と訳し方を答えよ。,読み：いづくにか～〔せん〕〔や〕 / 訳：どこに～か、いやどこにも～ない
漢文の反語形「誰カ(孰)〔～セン〕〔ヤ〕」の読み方と訳し方を答えよ。,読み：たれか～〔せん〕〔や〕 / 訳：だれが～か、いやだれも～ない
漢文の反語形「〔～セン〕乎(哉・也・邪・耶・与・歟・夫)」の読み方と訳し方を答えよ。,読み：～〔せん〕や / 訳：～か、いや～ない
漢文の反語形「何ヲ以テ〔～セン〕〔ヤ〕」の読み方と訳し方を答えよ。,読み：なにをもつて～〔せん〕〔や〕 / 訳：どうして～か、いや～ない
漢文の反語形「何レ為ゾ〔～セン〕〔ヤ〕」の読み方と訳し方を答えよ。,読み：なんすれぞ～〔せん〕〔や〕 / 訳：どうして～か、いや～ない
漢文の反語形「幾何ゾ(許)」の読み方と訳し方を答えよ。,読み：いくばくぞ / 訳：どれくらいか、いやいくらもない
漢文の反語形「如何ゾ(奈何・若何)ン～〔ヤ〕」の読み方と訳し方を答えよ。,読み：いかんぞ～ん〔や〕 / 訳：どうして～か、いや～ない
漢文の反語形「如(奈・若)二～ヲ一セ何ン」の読み方と訳し方を答えよ。,読み：～をいかんせん / 訳：～をどうすることができようか、いやできはしない
漢文の反語形「豈ニ〔～セン〕ン乎(哉)」の読み方と訳し方を答えよ。,読み：あに～〔せん〕や / 訳：どうして～か、いや～ない
漢文の反語形「盍ザルゾ(蓋)二〔～セ〕一」の読み方と訳し方を答えよ。,読み：なんぞ～〔せ〕ざる / 訳：どうして～しないのか、すればよい
漢文の反語形「何ゾ(胡)不ル二〔～セ〕一」の読み方と訳し方を答えよ。,読み：なんぞ～〔せ〕ざる / 訳：どうして～しないのか、すればよい
漢文の反語形「敢テ不ラ二ン〔～セ〕一[乎]」の読み方と訳し方を答えよ。,読み：あへて～〔せ〕ざらん[や] / 訳：どうして～ないだろうか、いやきっと～する
漢文の詠嘆形「嗚呼(于嗟・唉・嗟・嗟乎・噫・嘻)～」の読み方と訳し方を答えよ。,読み：ああ～ / 訳：ああ～なあ
漢文の詠嘆形「～哉(矣・乎・夫・也・歟・与)」の読み方と訳し方を答えよ。,読み：～かな(か・や) / 訳：～なあ
漢文の詠嘆形「何ゾ[其レ]～也」の読み方と訳し方を答えよ。,読み：なんぞ[それ]～や / 訳：なんとまあ～ことよ
漢文の詠嘆形「豈ニ不二～一乎(哉)」の読み方と訳し方を答えよ。,読み：あに～ずや / 訳：なんと～ではないか
漢文の詠嘆形「不二亦～一乎」の読み方と訳し方を答えよ。,読み：また～ずや / 訳：なんと～ではないか
漢文の願望形「願クハ〔～セヨ〕」の読み方と訳し方を答えよ。,読み：ねがはくは～〔せよ〕 / 訳：どうか～してください
漢文の願望形「願クハ〔～セン〕」の読み方と訳し方を答えよ。,読み：ねがはくは～〔せん〕 / 訳：～したい・～しましょう
漢文の願望形「冀クハ(庶幾・庶)～」の読み方と訳し方を答えよ。,読み：こひねがはくは～ / 訳：(どうか)～してほしい
漢文の願望形「請フ二ン～ト一」の読み方と訳し方を答えよ。,読み：～んとこふ / 訳：～であってほしい
漢文の願望形「欲ス二ン～ト一」の読み方と訳し方を答えよ。,読み：～んとほつす / 訳：～したい・～しよう
漢文の願望形「安ンゾ得ン二～一」の読み方と訳し方を答えよ。,読み：いづくんぞ～えん / 訳：なんとか～できればなあ
漢文の受身形「見ル(被・為・所)二〔～セ〕一」の読み方と訳し方を答えよ。,読み：～る・～〔せ〕らる / 訳：～れる・～られる
漢文の受身形「〔セＡ〕ラル二於(于・乎)Ｂニ一」の読み方と訳し方を答えよ。,読み：ＢにＡる・ＢにＡ〔せ〕らる / 訳：ＢにＡられる
漢文の受身形「見ル(被・為・所)三〔Ａセ〕二於(于・乎)Ｂニ一」の読み方と訳し方を答えよ。,読み：ＢにＡる・ＢにＡ〔せ〕らる / 訳：ＢにＡられる
漢文の受身形「封ゼラル(任)二～ニ一」の読み方と訳し方を答えよ。,読み：～にほうぜらる / 訳：～に領地を与えられる
漢文の受身形「謫セラレ(族)二～ニ一」の読み方と訳し方を答えよ。,読み：～にたくせらる / 訳：～に地方に流される
漢文の受身形「為ル二Ａノ所ト一レ〔Ｂスル〕」の読み方と訳し方を答えよ。,読み：ＡのＢ〔する〕ところとなる / 訳：ＡにＢされる
漢文の使役形「Ａ使ム(令・教・遣)三ヲＢシテ〔Ｃセ〕二ヲＤ（ニ）一」の読み方と訳し方を答えよ。,読み：Ａ ＢをしてＤを(に)Ｃ〔せ〕しむ / 訳：ＡはＢに(を)Ｄを(に)Ｃさせる
漢文の使役形「Ａ命ジテ(召シテ・説キテ)二Ｂ一ニ（ヲ）〔Ｃセ〕シム」の読み方と訳し方を答えよ。,読み：Ａ Ｂにめいじて(をめして・にときて)Ｃ〔せ〕しむ / 訳：ＡはＢに命令して(を呼んで・を説得して)Ｃさせる
漢文の仮定形「如シ(若・仮・向使)～バ」の読み方と訳し方を答えよ。,読み：もし～ば / 訳：もし～ならば
漢文の仮定形「如シ(若・仮・向使)ト～モ」の読み方と訳し方を答えよ。,読み：もし～とも / 訳：たとえ～としても
漢文の仮定形「苟クモ～バ」の読み方と訳し方を答えよ。,読み：いやしくも～ば / 訳：もし～ならば
漢文の仮定形「苟クモト～モ」の読み方と訳し方を答えよ。,読み：いやしくも～とも / 訳：たとえ～としても
漢文の仮定形「縦ヒ(仮令)ト～モ」の読み方と訳し方を答えよ。,読み：たとひ～とも / 訳：たとえ～としても
漢文の仮定形「雖モ二～ト一」の読み方と訳し方を答えよ。,読み：～といへども / 訳：たとえ～としても・～ではあるが
漢文の仮定形「Ａレバ則チＢ」の読み方と訳し方を答えよ。,読み：ＡればすなはちＢ / 訳：ＡならばＢである
漢文の仮定形「不ンバ然ラレ～(不ン者バ～)」の読み方と訳し方を答えよ。,読み：しからずんば～ / 訳：もしそうでなければ～
漢文の仮定形「今～バ」の読み方と訳し方を答えよ。,読み：いま～ば / 訳：仮に～ならば・今もし～ならば
漢文の仮定形「微カ二～一リセバ」の読み方と訳し方を答えよ。,読み：～なかりせば / 訳：もし～がなかったとしたら
漢文の仮定形「不レバ二（ンバ）〔Ａセ〕一不二〔Ｂセ〕一」の読み方と訳し方を答えよ。,読み：Ａ〔せ〕ざれば(ずんば)Ｂ〔せ〕ず / 訳：ＡしなければＢしない
漢文の仮定形「無ケレバ二（クンバ）Ａ一不二〔Ｂセ〕一」の読み方と訳し方を答えよ。,読み：Ａなければ(なくんば)Ｂ〔せ〕ず / 訳：ＡがなければＢしない
漢文の仮定形「非ザレバ二（ズンバ）Ａニ一不二〔Ｂセ〕一」の読み方と訳し方を答えよ。,読み：Ａにあらざれば(あらずんば)Ｂ〔せ〕ず / 訳：ＡでなければＢしない
漢文の限定形「唯ダ(但・惟・徒・直)～已(而巳・而已矣・耳)」の読み方と訳し方を答えよ。,読み：ただ～のみ / 訳：ただ～だけだ
漢文の限定形「唯ダ(但・惟・只・徒・直・祇)ノ～ミ」の読み方と訳し方を答えよ。,読み：ただ～のみ / 訳：ただ～だけだ
漢文の限定形「～耳(而已・而已矣・已・也已・爾)」の読み方と訳し方を答えよ。,読み：～のみ / 訳：～だけだ
漢文の限定形「独リノ～ミ」の読み方と訳し方を答えよ。,読み：ひとり～のみ / 訳：ただ～だけだ
漢文の累加形「不二ダ唯ニ(独リ)ノ～ミナラ一」の読み方と訳し方を答えよ。,読み：ただに(ひとり)～のみならず / 訳：ただ～だけではない
漢文の累加形「非ズ二独リ(ダ唯ニ)ノ～ミニ一」の読み方と訳し方を答えよ。,読み：ひとり(ただに)～のみにあらず / 訳：ただ～だけではない
漢文の累加形「何ゾ独リノ～ミナランヤ」の読み方と訳し方を答えよ。,読み：なんぞひとり～のみならんや / 訳：どうしてただ～だけだろうか、いや～だけではない
漢文の累加形「豈ニダ惟ニ(徒)ノ～ミナランヤ」の読み方と訳し方を答えよ。,読み：あにただに～のみならんや / 訳：どうしてただ～だけだろうか、いや～だけではない
漢文の比較形「Ａハ～二於(于・乎)ヨＢリモ一」の読み方と訳し方を答えよ。,読み：ＡはＢよりも～ / 訳：ＡはＢよりも～だ
漢文の比較形「Ｂハ不レ如カ(若)二Ａニ一」の読み方と訳し方を答えよ。,読み：ＢはＡにしかず / 訳：ＢはＡに及ばない・ＢよりＡがよい
漢文の最上級を表す比較形「莫シレ～ハ二於ヨＡリ一」の読み方と訳し方を答えよ。,読み：Ａより～はなし / 訳：Ａより～なものはない
漢文の最上級を表す比較形「莫シレ～ハレヨ焉リ」の読み方と訳し方を答えよ。,読み：これより～はなし / 訳：これより～なものはない
漢文の最上級を表す比較形「莫シレク如ハ(若)二Ａニ一」の読み方と訳し方を答えよ。,読み：Ａにしくはなし / 訳：Ａに及ぶものはない・Ａが一番よい
漢文の比況形「Ａハ如シ(若)二ノＢ（スルガ）一」の読み方と訳し方を答えよ。,読み：ＡはＢの(するが)ごとし / 訳：ＡはＢのようだ(ＡはＢするようなものだ)
漢文の比況形「Ａハ似タリ二Ｂニ一」の読み方と訳し方を答えよ。,読み：ＡはＢににたり / 訳：ＡはＢのようだ
漢文の選択形「寧ロ〔Ｂセ〕ンカ、寧ロ〔Ａセ〕ンカ」の読み方と訳し方を答えよ。,読み：むしろＢ〔せ〕んか、むしろＡ〔せ〕んか / 訳：いっそＢの方がよいか、それともいっそＡの方がよいのか
漢文の選択形「与リハ二其ノ〔Ｂセ一〕ン、寧ロ〔Ａセヨ〕」の読み方と訳し方を答えよ。,読み：そのＢ〔せ〕んよりは、むしろＡ〔せよ〕 / 訳：Ｂするよりは、Ａするほうがよい
漢文の選択形「与リハ二其ノ〔Ｂセ一〕ン、不レ如カ(若)二〔Ａスル〕一ニ」の読み方と訳し方を答えよ。,読み：そのＢ〔せ〕んよりは、Ａ〔する〕にしかず / 訳：Ｂするよりは、Ａするほうがよい
漢文の選択形「Ｂハ孰レ―与ゾ(孰若)Ａニ一」の読み方と訳し方を答えよ。,読み：ＢはＡにいづれぞ / 訳：ＢとＡではどちらがよいか
漢文の抑揚形「ＡハＢ。[ル而ヲ]ン況ヤＣヲ乎」の読み方と訳し方を答えよ。,読み：ＡはＢ。[しかるを]いはんやＣをや / 訳：ＡはＢだ。ましてＣはなおさらＢだ
漢文の抑揚形「Ａスラ且ツ(尚ホ・猶ホ)Ｂ。ン況ヤＣヲ乎(哉)」の読み方と訳し方を答えよ。,読み：Ａすらかつ(なほ)Ｂ。いはんやＣをや / 訳：Ａでさえも(なお)Ｂだ。ましてＣはなおさらＢだ
漢文の抑揚形「Ａスラ且ツＢ。安クンゾ(悪)〔Ｃセン〕乎(也)」の読み方と訳し方を答えよ。,読み：ＡすらかつＢ。いづくんぞＣ〔せん〕や / 訳：ＡでさえもＢだ。ましてどうしてＣしようか、いやＣしない